,Name,Street name,Street number,Neighborhood name,District name,Zip code,Latitud,Longitud
2091,"C Artesania, 41",C Artesania,41,la Guineueta,Nou Barris,8042,41.4420985457445,2.1725310462442
2092,"C Almogàvers, 62",C Almogàvers,62,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3940135166108,2.18606085647525
2094,"C Sardenya, 152",C Sardenya,152,el Fort Pienc,Eixample,8018,41.3949148061183,2.18445533131475
2095,"C Salvador Mundí, 4",C Salvador Mundí,4,Sarrià,Sarrià-Sant Gervasi,8017,41.399324437634,2.12268886412437
2096,"C Llacuna, 26",C Llacuna,26,el Poblenou,Sant Martí,8005,41.3992847564838,2.20143856152566
2097,"C Llacuna, 63",C Llacuna,63,el Poblenou,Sant Martí,8005,41.4010192311842,2.19893884796368
2098,"C Llacuna, 96",C Llacuna,96,el Poblenou,Sant Martí,8018,41.402888578504,2.19669407100322
2099,"Pla Palau, 9998",Pla Palau,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3830948225382,2.18296849408999
2100,"C València, 335",C València,335,la Dreta de l'Eixample,Eixample,8009,41.3972869627971,2.1693012617007
2101,"C Rosselló, 149",C Rosselló,149,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3886720154253,2.15105729978596
2102,"C Trafalgar, 8",C Trafalgar,8,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8010,41.388889862323,2.17479746231682
2103,"C Casp, 1",C Casp,1,la Dreta de l'Eixample,Eixample,8010,41.3886305529787,2.16984082930279
2104,"Rbla Prim, 90",Rbla Prim,90,el Besòs i el Maresme,Sant Martí,8019,41.415940276428,2.2130515269439
2105,"C Arc de Sant Cristòfol, 6",C Arc de Sant Cristòfol,6,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3875271369836,2.17898012260753
2106,"C Princesa, 37",C Princesa,37,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3860557939161,2.18126717936506
2108,"Rbla Poblenou, 88",Rbla Poblenou,88,el Poblenou,Sant Martí,8005,41.4018421051271,2.20018078585648
2109,"C Montalegre, 6",C Montalegre,6,el Raval,Ciutat Vella,8001,41.384123947771,2.16671531157981
2110,"Pl Mossèn Clapés, 9999",Pl Mossèn Clapés,1,Sant Andreu,Sant Andreu,8030,41.4416218496535,2.18803577005392
2111,"C Lanzarote, 13",C Lanzarote,13,Sant Andreu,Sant Andreu,8030,41.4390774976549,2.18995196893414
2112,"C Pelai, 60",C Pelai,60,el Raval,Ciutat Vella,8001,41.3854200658089,2.16956393763822
2113,"C Sardenya, 340",C Sardenya,340,la Sagrada Família,Eixample,8025,41.4042942529701,2.17223191960617
2114,"C Argenteria, 15",C Argenteria,15,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.383829565541,2.17911333385323
2115,"C Sardenya, 398",C Sardenya,398,la Sagrada Família,Eixample,8025,41.4068504393695,2.16887665679425
2116,"Pl Pedró, 4",Pl Pedró,4,el Raval,Ciutat Vella,8001,41.3796178146569,2.16617883380082
2117,"Pl Sant Agustí, 4",Pl Sant Agustí,4,el Raval,Ciutat Vella,8001,41.3807195215586,2.17157959661376
2118,"C Floristes de la Rambla, 5",C Floristes de la Rambla,5,el Raval,Ciutat Vella,8001,41.380884956202,2.16966693906054
2119,"C Sardenya, 351",C Sardenya,351,el Camp d'en Grassot i Gràcia Nova,Gràcia,8025,41.4053893540724,2.17078215868046
2120,"Rbla Fabra i Puig, 70",Rbla Fabra i Puig,70,Sant Andreu,Sant Andreu,8030,41.4301752302524,2.18626720868921
2121,"C Pujades, 226",C Pujades,226,el Poblenou,Sant Martí,8005,41.4031063208439,2.20265151039528
2123,"C Rogent, 77",C Rogent,77,el Camp de l'Arpa del Clot,Sant Martí,8026,41.411683690078,2.18140271019131
2124,"Av Rio de Janeiro, 59",Av Rio de Janeiro,59,Porta,Nou Barris,8016,41.4359517994922,2.1798742335178
2126,"Rier Sant Andreu, 78",Rier Sant Andreu,78,Sant Andreu,Sant Andreu,8030,41.4346311251268,2.18625573453304
2127,"C Pare Secchi, 29",C Pare Secchi,29,Sant Andreu,Sant Andreu,8030,41.4335142808806,2.18655188626727
2128,"Av Coll del Portell, 91",Av Coll del Portell,91,la Salut,Gràcia,8024,41.4130671981152,2.14960242623222
2129,"C Gran de Sant Andreu, 215",C Gran de Sant Andreu,215,Sant Andreu,Sant Andreu,8030,41.434035268883,2.18942088212643
2130,"Rbla Fabra i Puig, 25",Rbla Fabra i Puig,25,Sant Andreu,Sant Andreu,8030,41.4300917986928,2.18787380456602
2131,"C Nàpols, 110",C Nàpols,110,el Fort Pienc,Eixample,8013,41.3952123055578,2.17976728989784
2132,"C Sant Sebastià, 1",C Sant Sebastià,1,Sant Andreu,Sant Andreu,8030,41.4302513070419,2.19104770991037
2133,"Pg Exposició, 72",Pg Exposició,72,el Poble-sec,Sants-Montjuïc,8004,41.3704614266864,2.15852310769629
2134,"Pg Maragall, 124",Pg Maragall,124,el Congrés i els Indians,Sant Andreu,8027,41.4217827341231,2.1795875860272
2135,"C Sant Oleguer, 10",C Sant Oleguer,10,el Raval,Ciutat Vella,8001,41.3773663893002,2.17104092603554
2136,"C Castillejos, 275",C Castillejos,275,la Sagrada Família,Eixample,8025,41.4071305072541,2.17738296449239
2137,"C Girona, 31",C Girona,31,la Dreta de l'Eixample,Eixample,8010,41.3923306269846,2.17433076782329
2139,"C Méndez Núñez, 15",C Méndez Núñez,15,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3899655694268,2.17750283261382
2140,"C Milans, 7",C Milans,7,el Barri Gòtic,Ciutat Vella,8002,41.3806682988982,2.17927875815904
2141,"C Rambla, 103",C Rambla,103,el Raval,Ciutat Vella,8002,41.3827478793518,2.17181876896714
2142,"C Rambla, 73",C Rambla,73,el Raval,Ciutat Vella,8002,41.3812501627363,2.17308413383107
2143,"C Diputació, 96",C Diputació,96,la Nova Esquerra de l'Eixample,Eixample,8015,41.3810136230185,2.15466349348274
2144,"G.V. Corts Catalanes, 451",G.V. Corts Catalanes,451,la Nova Esquerra de l'Eixample,Eixample,8015,41.37902713238,2.1541742693781
2145,"C Diputació, 50",C Diputació,50,la Nova Esquerra de l'Eixample,Eixample,8015,41.3792870128787,2.15237586730085
2146,"C Vilamarí, 1",C Vilamarí,1,Sant Antoni,Eixample,8015,41.3752097411323,2.15418218500192
2147,"C Calàbria, 95",C Calàbria,95,Sant Antoni,Eixample,8015,41.3791727492847,2.15558499235644
2149,"Av Mare de Déu de Montserrat, 78",Av Mare de Déu de Montserrat,78,el Baix Guinardó,Horta-Guinardó,8024,41.4150339616292,2.166804053075
2150,"C Tarragona, 74",C Tarragona,74,la Nova Esquerra de l'Eixample,Eixample,8015,41.3773605222125,2.14722053617405
2151,"C València, 358",C València,358,la Dreta de l'Eixample,Eixample,8009,41.3977956571516,2.17019140812567
2152,"Av Estadi, 37",Av Estadi,37,el Poble-sec,Sants-Montjuïc,8038,41.3664404042477,2.15156060889646
2154,"Pg Valldaura, 242",Pg Valldaura,242,Porta,Nou Barris,8016,41.4387827841497,2.17843798768536
2155,"C Portal Nou, 62",C Portal Nou,62,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3898254577944,2.18109539448824
2156,"Pl Joaquim Xirau i Palau, 4",Pl Joaquim Xirau i Palau,4,el Barri Gòtic,Ciutat Vella,8002,41.3783120442751,2.17634420148118
2157,"C Buenaventura Muñoz, 12",C Buenaventura Muñoz,12,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.3909900584474,2.18405774847492
2158,"C Civader, 6",C Civader,6,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3845449086557,2.17939241466326
2159,"Av Drassanes, 16",Av Drassanes,16,el Raval,Ciutat Vella,8001,41.377010594982,2.17261273893114
2160,"C La Maquinista, 15",C La Maquinista,15,la Barceloneta,Ciutat Vella,8003,41.380737734639,2.18874879666149
2161,"Rbla Poblenou, 135",Rbla Poblenou,135,el Poblenou,Sant Martí,8018,41.4042124658452,2.19729891071653
